,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
FAD_4,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + doscoa_c + fad_c + nad_c --> accoa_c + eiscoa_c + fadh2_c + nadh_c,"['Rv3139', 'Rv3516']"
FAD_5,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + eiscoa_c + fad_c + nad_c --> accoa_c + fadh2_c + nadh_c + octdcoa_c,"['Rv3139', 'Rv3516']"
FAD_6,8.361251233364014,0.004483994391715056,"[(1.0, 69), (0.0, 51), (0.317343660266189, 14)]",Fatty Acid Metabolism,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + nad_c + octdcoa_c --> accoa_c + fadh2_c + hexdcoa_c + nadh_c,"['Rv3139', 'Rv3516']"
NNDPR,8.31679257519104,0.004588297371874186,"[(0.002464405100670539, 5), (0.0024644051055616335, 2), (0.002464405100650574, 2), (0.002464405100690504, 2), (0.0024644051402240366, 1), (0.002464405102824356, 1), (0.0024644051058011988, 1), (0.0024644051195302046, 1), (0.0024644051212327975, 1), (0.002464403274203145, 1), (0.00246440510744194, 1), (0.0024644050953402455, 1), (0.002464405103602272, 1), (0.00246440510605357, 1), (0.0024644051060396556, 1), (0.0024644051080501446, 1), (0.002464405100030537, 1), (0.0, 1), (1.0, 1), (0.0024644051075110515, 1), (0.0024644050962985, 1), (0.0024644051074941727, 1), (0.002464405123868302, 1), (0.002464405116355862, 1), (0.002464405109767481, 1), (0.002464405112269424, 1), (0.002464405101517096, 1), (0.002464405102714201, 1), (4.154123225963424e-12, 1), (0.002464405100600432, 1), (0.0024644051106327922, 1), (0.0024644051006106615, 1), (0.002464405107526303, 1), (0.0024644051108919304, 1), (0.0024644051057812356, 1), (0.0024644051289060727, 1), (0.002464405103917681, 1), (0.0024644051214550468, 1), (0.0024644051043911427, 1), (0.002464405107500619, 1), (0.9999999999769454, 1), (0.002464405113626951, 1), (0.002464405100655329, 1), (0.0024644051075179817, 1), (0.002464405100610644, 1), (0.002464405100658054, 1), (0.002464428398553776, 1), (0.0024644051341379744, 1), (0.002464405107502782, 1), (0.0024644051029079975, 1), (0.0024644051058719703, 1), (0.002464405100690497, 1), (0.002464405107487329, 1), (0.002464405113075833, 1), (0.0024644051007419697, 1), (0.0024644051075021246, 1), (0.0024644051047755973, 1), (0.002464405100675457, 1), (0.0024644051050200007, 1), (0.0024644051035926026, 1), (0.002464405100815966, 1), (0.0024644051108668585, 1), (0.0024644051057509803, 1), (0.0024644051075302462, 1), (0.002464405107496185, 1), (0.0024644051034402627, 1), (0.0024644051075010127, 1), (0.00246440510403189, 1), (0.002464405103596643, 1), (1.023228203556048e-11, 1), (0.0024644051074764264, 1), (0.002464405104555145, 1), (0.0024644046753682855, 1), (0.0024644051075753595, 1), (0.002464405103420435, 1), (0.9999999999817132, 1), (0.002464405121144141, 1), (0.0024644051073023435, 1), (0.002464405100723075, 1), (0.002464405107498931, 1), (0.0024644051006505793, 1), (0.0024644051006765255, 1), (0.002464405100664672, 1), (0.0024644051075003778, 1), (0.002464405100697911, 1), (0.0024644051047310756, 1), (0.0024644051115280865, 1), (0.0024644051050317257, 1), (0.002464405098166719, 1), (0.0024644051093766356, 1), (0.0024644051075464104, 1), (0.0024644051034583194, 1), (0.0024644051021941223, 1), (0.002464405096749847, 1), (0.0024644051118674383, 1), (0.0024644051204623218, 1), (0.002464405107461525, 1), (0.002464405108656989, 1), (0.0024644051067594947, 1), (0.9999999999772701, 1), (0.002464405102835833, 1), (0.0024644051006905057, 1), (0.002464405802112662, 1), (0.002464405107509676, 1), (0.002464405102011657, 1), (0.0024644050963815133, 1), (0.0024644050948093126, 1), (0.0024644051035491513, 1), (0.0024644050988362164, 1), (0.0024644051035963635, 1), (0.0024644051057434654, 1), (0.002464405105721351, 1), (0.0024644051057019657, 1), (0.0024644051057579296, 1), (0.0024644051006705355, 1), (0.002464405096420569, 1), (0.0024644051075021593, 1), (0.002464405100732087, 1), (0.0008214683693723232, 1), (0.002464405100588934, 1), (0.002464405053572011, 1), (0.999999999978559, 1), (0.0024644051071940534, 1), (0.002464405153799181, 1), (0.002464405176729587, 1), (0.0024644051007437374, 1), (0.00246440510066262, 1)]",Pantothenate and CoA Metabolism,nicotinate-nucleotide diphosphorylase (carboxylating),['Rv1596'],2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c,
QULNS,8.316792575190966,0.004588297371874382,"[(0.0024644051006705425, 3), (0.002464405105561637, 2), (0.0024644051006905057, 2), (0.0024644051006705407, 2), (0.0024644051402240384, 1), (0.0024644051028243578, 1), (0.0024644051058012005, 1), (0.0024644051195302063, 1), (0.0024644051212327975, 1), (0.002464403274203145, 1), (0.00246440510744194, 1), (0.002464405095340249, 1), (0.0024644051036022737, 1), (0.0024644051060535715, 1), (0.0024644051060396573, 1), (0.0024644051080501463, 1), (0.002464405100030537, 1), (0.0, 1), (1.0, 1), (0.002464405100650574, 1), (0.0024644051075110533, 1), (0.0024644050962985015, 1), (0.0024644051074941727, 1), (0.002464405123868302, 1), (0.0024644051163558636, 1), (0.0024644051097674827, 1), (0.0024644051122694258, 1), (0.002464405101517098, 1), (0.002464405102714203, 1), (4.1541249606869e-12, 1), (0.0024644051006004353, 1), (0.0024644051106327957, 1), (0.0024644051006106633, 1), (0.002464405107526305, 1), (0.002464405110891934, 1), (0.0024644051057812373, 1), (0.0024644051289060727, 1), (0.002464405103917683, 1), (0.0024644051214550485, 1), (0.002464405104391141, 1), (0.0024644051075005825, 1), (0.9999999999769457, 1), (0.0024644051136269527, 1), (0.002464405100655329, 1), (0.0024644051075179835, 1), (0.0024644051006106477, 1), (0.0024644051006580507, 1), (0.002464428398553778, 1), (0.002464405134137976, 1), (0.002464405107502784, 1), (0.002464405102907999, 1), (0.0024644051058719738, 1), (0.002464405100690497, 1), (0.0024644051074873326, 1), (0.0024644051130758345, 1), (0.0024644051007419714, 1), (0.0024644051075021246, 1), (0.002464405104775599, 1), (0.0024644051006754587, 1), (0.0024644051050200025, 1), (0.0024644051035926044, 1), (0.002464405100815966, 1), (0.00246440511086686, 1), (0.0024644051057509837, 1), (0.0024644051075302462, 1), (0.0024644051074961867, 1), (0.0024644051034402644, 1), (0.0024644051075010144, 1), (0.002464405104031892, 1), (0.0024644051035966445, 1), (1.0232285505007432e-11, 1), (0.002464405107476428, 1), (0.002464405104555145, 1), (0.0024644046753682872, 1), (0.002464405107575361, 1), (0.0024644051034204383, 1), (0.999999999981713, 1), (0.0024644051211441427, 1), (0.0024644051073023435, 1), (0.002464405100723077, 1), (0.0024644051074989327, 1), (0.002464405100650581, 1), (0.0024644051006765255, 1), (0.002464405100664674, 1), (0.0024644051075003795, 1), (0.002464405100697911, 1), (0.002464405100650576, 1), (0.002464405104731079, 1), (0.0024644051115280882, 1), (0.0024644051050317275, 1), (0.0024644050981667224, 1), (0.0024644051093695336, 1), (0.002464405107546412, 1), (0.0024644051034583194, 1), (0.002464405102194124, 1), (0.002464405096749847, 1), (0.0024644051118674383, 1), (0.0024644051204623253, 1), (0.002464405107461527, 1), (0.0024644051086569908, 1), (0.0024644051067594964, 1), (0.9999999999772698, 1), (0.0024644051028358347, 1), (0.0024644051006905074, 1), (0.002464405802112773, 1), (0.002464405107509676, 1), (0.002464405102011659, 1), (0.002464405096402982, 1), (0.0024644050948093126, 1), (0.002464405103549153, 1), (0.0024644050988362164, 1), (0.0024644051035963635, 1), (0.002464405105743469, 1), (0.0024644051057213495, 1), (0.0024644051057019674, 1), (0.0024644051057579313, 1), (0.0024644051006705373, 1), (0.0024644050964205706, 1), (0.002464405107502161, 1), (0.0024644051007320887, 1), (0.0008214683693723267, 1), (0.002464405100588936, 1), (0.002464405053572011, 1), (0.9999999999785593, 1), (0.002464405107194055, 1), (0.002464405153799183, 1), (0.0024644051767295887, 1), (0.002464405100743739, 1), (0.0024644051006626217, 1)]",Pantothenate and CoA Metabolism,quinolinate synthase,['Rv1594'],dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c,
NNAM,8.311567164194233,0.004600719928352797,"[(0.9999999999929244, 128), (0.0, 5), (0.9999999999999999, 1)]",Pantothenate and CoA Metabolism,Nicotinamidase,['Rv2043c'],h2o_c + ncam_c <=> nac_c + nh4_c,['Rv2043c']
NAPRTr,8.31156716417941,0.004600719928388042,"[(0.9999999999999946, 128), (0.0, 5), (0.9999999999999998, 1)]",Pantothenate and CoA Metabolism,,"['Rv1330c', 'Rv0573c']",h_c + nac_c + prpp_c <=> nicrnt_c + ppi_c,
DM_ncam_c,8.311567164179104,0.004600719928388792,"[(0.0, 129), (1.0, 5)]",Intracellular demand,ncam_c Demand reaction,[],ncam_c --> ,
DHORD2,7.4437015361119165,0.007233149517159893,"[(0.0, 14), (0.9999999963924419, 6), (0.9999999963924403, 5), (0.999999996392442, 4), (0.9999999963924349, 3), (0.9999999963924399, 2), (0.9999999963924401, 2), (0.9999999963921217, 2), (0.9999999960776277, 2), (0.999999997577536, 1), (0.999999996392119, 1), (0.9999999963934038, 1), (0.9999999975557808, 1), (0.9999999960650036, 1), (0.9999999963921321, 1), (0.9999999963924351, 1), (0.9999999960781326, 1), (0.9999999960649999, 1), (0.9999999961848351, 1), (0.9999999963508208, 1), (0.9999999959499077, 1), (0.8014107461190272, 1), (0.9999999975557774, 1), (0.9999999963932442, 1), (0.9999999963918677, 1), (0.9999999963917271, 1), (0.9999999975557814, 1), (0.9999999963902654, 1), (0.9999999963925473, 1), (0.9999999964322995, 1), (0.9999999963911143, 1), (0.9999999963924536, 1), (0.80141074611858, 1), (0.9999999966414923, 1), (0.9999999963943639, 1), (0.9999999963921207, 1), (0.9999999964021354, 1), (0.9999999975169446, 1), (0.9999999961323972, 1), (0.9999999963922596, 1), (0.9999999963921201, 1), (0.999999996392122, 1), (0.9999999961926691, 1), (0.9999999963937002, 1), (0.9999999963924406, 1), (0.9999999960775707, 1), (0.9999999975557782, 1), (0.9999999963921146, 1), (0.9999999963921676, 1), (0.9999999963918709, 1), (0.999999996395394, 1), (0.9999999961923911, 1), (0.9999999960447766, 1), (0.9999999963924278, 1), (0.9999999959499585, 1), (0.9999999963921257, 1), (0.9999999963931132, 1), (0.9999999963919518, 1), (0.99999999606505, 1), (0.9999999963921086, 1), (0.9999999961128997, 1), (0.9999999960777081, 1), (0.8014107461190313, 1), (0.9999999963895634, 1), (0.9999999963924366, 1), (0.9999999963923792, 1), (0.999999996394401, 1), (0.9999999960561818, 1), (0.9999999963921222, 1), (0.9999999963926367, 1), (0.9999999963924409, 1), (0.9999999963922068, 1), (0.9999999961661915, 1), (0.9999999963925064, 1), (0.9999999961902679, 1), (0.9999999961926739, 1), (0.9999999963959804, 1), (0.9999999960651917, 1), (0.9999999959499456, 1), (0.9999999963939786, 1), (0.9999999975558437, 1), (0.9999999963926001, 1), (0.9999999961926895, 1), (0.9999999963345445, 1), (0.9999999962480414, 1), (0.9999999983405535, 1), (0.9999999959499589, 1), (0.9999999960458974, 1), (0.9999999960738779, 1), (0.9999999960777608, 1), (0.9999999963924404, 1), (0.9999999963921251, 1), (0.9999999963921214, 1), (0.9999999963924299, 1), (0.8676071628768633, 1), (0.999999996383155, 1), (0.999999996393127, 1), (0.999999996368379, 1), (1.0, 1), (0.9999999963924343, 1), (0.9999999963924424, 1), (0.9999999963924336, 1), (0.9999999960650018, 1)]",Purine and Pyrimidine Biosynthesis,Dihydoorotic acid dehydrogenase (quinone8),['Rv2139'],dhor__S_c + q8_c --> orot_c + q8h2_c,
GLYCTO1,7.131181006982647,0.00852808816356479,"[(5.611716398551909e-13, 117), (0.9999999883791678, 1), (0.9999999819165434, 1), (0.9999999882836673, 1), (0.0, 1), (0.9999999841205016, 1), (7.003066354085911e-14, 1), (0.9999999839150152, 1), (0.9999999750275659, 1), (1.0, 1), (0.9999999682480541, 1), (0.99999998376706, 1), (0.9999999916690251, 1), (0.9999999839150171, 1), (0.9999999839138946, 1), (5.2600951162854525e-12, 1), (0.9999999841171505, 1), (0.9999999837479157, 1)]",Glyoxylate Metabolism,Glycolate oxidase,['Rv1257c'],glyclt_c + o2_c --> glx_c + h2o2_c,
DALAOX,7.131181006001926,0.008528088167985448,"[(0.0, 120), (1.0, 1), (0.9999999983808465, 1), (0.9999999983775665, 1), (0.9999999988880488, 1), (0.9999999983844415, 1), (0.9999999983844164, 1), (0.9999999983662979, 1), (0.9999999983879698, 1), (0.9999999984157575, 1), (0.9999999983758067, 1), (0.9999999983953457, 1), (0.9999999983914416, 1), (0.9999999983746165, 1), (0.9999999984107107, 1)]",Other Amino Acid Metabolism,DALAOX,['Rv1905c'],ala__D_c + h2o_c + o2_c --> h2o2_c + nh4_c + pyr_c,
PYRD1,7.131181005838262,0.00852808816872316,"[(0.0, 120), (0.9999999998344197, 1), (0.9999999999976198, 1), (0.999999999997619, 1), (0.9999999999976157, 1), (0.9999999997978541, 1), (0.9999999999976186, 1), (0.9999999999977007, 1), (0.9999999999976183, 1), (0.999999999649918, 1), (0.999999999997618, 1), (0.9999999997978546, 1), (0.9999999997978555, 1), (1.0, 1), (0.9999999996701878, 1)]",Purine and Pyrimidine Biosynthesis,PYRD1,['Rv2139'],dhor__S_c + o2_c --> h2o2_c + orot_c,
CAT,7.131181005633703,0.008528088169645287,"[(3.7613267545194146e-11, 97), (1.0, 14), (3.72328130222234e-11, 1), (3.89167263162787e-11, 1), (4.172510213566331e-11, 1), (3.793683800058716e-11, 1), (3.772845823735764e-11, 1), (3.7618783802309195e-11, 1), (3.762108614857116e-11, 1), (3.5903607503535394e-11, 1), (3.761289644670255e-11, 1), (3.7617730049786305e-11, 1), (3.7599789473742757e-11, 1), (3.759009293825135e-11, 1), (3.760722837582522e-11, 1), (3.882307378251625e-11, 1), (3.7647191788509765e-11, 1), (3.7604780271299607e-11, 1), (3.7617636858720674e-11, 1), (3.761298689720449e-11, 1), (0.0, 1), (6.749245448192116e-11, 1), (3.764171725998964e-11, 1), (2.7318565630016912e-11, 1), (3.7300289003670616e-11, 1)]",Redox Metabolism,catalase,['Rv1908c'],2.0 h2o2_c --> 2.0 h2o_c + o2_c,['Rv1908c']
ASPO6,7.131180965598989,0.008528088350105975,"[(1.1225409763490193e-09, 113), (0.9999998268140463, 1), (1.0590173410126364e-09, 1), (1.1225412579397712e-09, 1), (0.9999999983489491, 1), (0.9999999983491688, 1), (0.9999999989006849, 1), (1.1212892604445887e-09, 1), (1.3328982258722372e-09, 1), (1.0, 1), (0.9999999983544087, 1), (0.9999999989004275, 1), (0.9999999983506576, 1), (0.9999999983501751, 1), (0.9999999983485662, 1), (0.9999999987041964, 1), (1.1259483652424597e-09, 1), (0.999999999252455, 1), (0.0, 1), (0.9999999988993918, 1), (0.9999999985730346, 1), (1.1225408355536434e-09, 1)]","Alanine, Aspartate, and Glutamate Metabolism",L-aspartate oxidase,['Rv1595'],asp__L_c + o2_c --> h2o2_c + h_c + iasp_c,
ALAR,7.120629038752652,0.008575790087970792,"[(0.001313620038865421, 19), (0.0013136200388807239, 9), (0.0013136200388633038, 5), (0.0013136200388632786, 3), (0.0013136200359423868, 3), (0.0013136200388390445, 3), (0.0013136200366994383, 2), (0.0013136200367342803, 2), (0.0013136200466380577, 1), (0.001313620046560605, 1), (0.24539842538706197, 1), (0.0013136200366994644, 1), (0.0013136200388633498, 1), (0.001313620036796797, 1), (0.0013136200380722048, 1), (0.0013136200397167643, 1), (0.0013136200359381497, 1), (2.8492833092919057e-15, 1), (0.001313620046560644, 1), (0.0013136200388706304, 1), (0.001313620038888727, 1), (0.0013136200465704104, 1), (0.00131362003884959, 1), (0.0013136200388672477, 1), (0.0013136200391290036, 1), (0.00131362003885728, 1), (0.0013136200388654835, 1), (0.0, 1), (0.0013136200405340064, 1), (0.001313620038878108, 1), (0.0013136200388675391, 1), (0.0013136200388825956, 1), (0.0013136200463203396, 1), (0.0013136200372070505, 1), (0.001313620038864297, 1), (0.001313620038863282, 1), (0.0013136200375439989, 1), (0.24539842499294712, 1), (0.24539842499214642, 1), (0.001313620036783052, 1), (0.0013136200475081785, 1), (0.0013136200388635744, 1), (0.0013136200388674966, 1), (0.001313620038861118, 1), (0.24539842511674737, 1), (0.0013136200387754695, 1), (0.0013136200375421236, 1), (0.0013136200368384747, 1), (0.0013136200365657744, 1), (0.0013136200388676788, 1), (0.0013136200388698463, 1), (0.0013136200388621528, 1), (0.001313620036692601, 1), (0.001313620038634368, 1), (0.0013136200367759579, 1), (5.023759186428833e-15, 1), (0.0013136200381571577, 1), (0.0013136200399450721, 1), (0.0013136200366498894, 1), (0.24539842499249137, 1), (0.001313620038865094, 1), (0.0013136200367829887, 1), (0.24539842499382514, 1), (0.0013136200388651877, 1), (0.24539842498939635, 1), (0.24539842499082426, 1), (0.24539842499916853, 1), (0.0013136200388663968, 1), (0.001313620038887968, 1), (0.2453984249917412, 1), (0.001313620037387925, 1), (0.0013136200388655823, 1), (0.24539842499574155, 1), (0.0013136200375281305, 1), (0.001313620037543979, 1), (0.0013136200388878883, 1), (0.0013136200388756767, 1), (0.24539842499421166, 1), (0.0013136200465609683, 1), (0.0013136200388718447, 1), (0.0013136200375441567, 1), (0.0013136200384693923, 1), (0.0013136200379102372, 1), (0.0013136200490012672, 1), (0.2453984249914421, 1), (0.24539842499807046, 1), (0.001313620036571964, 1), (0.001313620038865257, 1), (0.0013136200388653404, 1), (0.0004378733462903723, 1), (0.001313620038864257, 1), (0.0013136200383598194, 1), (0.0013136200388699382, 1), (0.0013136200387008044, 1), (0.0013136200635432737, 1), (0.0013136200388653542, 1)]",Arabinogalactan biosynthesis,alanine racemase,['Rv3423c'],ala__L_c <=> ala__D_c,['Rv3423c']
G3PD1ir,6.769737811469069,0.01033047110269722,"[(0.16581649213263117, 90), (0.0, 37), (1.0, 7)]",Glycerophospholipid metabolism,glycerol-3-phosphate dehydrogenase (NAD),"['Rv0564c', 'Rv2982c']",dhap_c + h_c + nadh_c <=> glyc3p_c + nad_c,['Rv2982c']
FAD_15,6.742363877634046,0.010482174628956975,"[(0.9999999999999999, 44), (0.0008227910790263136, 17), (0.9999999999985554, 17), (0.000822791077544435, 13), (0.0, 9), (0.9999999999994189, 7), (0.00082279107827375, 4), (0.999999999998474, 3), (0.9999999999984756, 1), (0.0008227910773162205, 1), (0.0008227910775444354, 1), (0.0008227910775530792, 1), (0.000822791077557201, 1), (0.0008227910789254773, 1), (0.0008227910774630537, 1), (0.0008227910775444149, 1), (0.0008227910767256401, 1), (0.9999999999993215, 1), (0.0008227910868893672, 1), (0.0008227910778285236, 1), (0.0008227910775444242, 1), (0.0008227910775450055, 1), (0.0928336147166135, 1), (0.0008227911063466922, 1), (0.0008227910775448276, 1), (0.0008227910776415467, 1), (0.0008227910775439669, 1), (0.0008227910918628556, 1)]",Beta oxidation of unsaturated fatty acids,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv1323', 'Rv0972c', 'Rv0468', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",coa_c + fad_c + hdcoa_c + nad_c --> accoa_c + c5tetdcoa_c + fadh2_c + nadh_c,"['Rv3139', 'Rv3516']"
FAD_16,6.742363877628553,0.010482174628987649,"[(0.9999999999999999, 44), (0.9999999999985554, 17), (0.0008227910790263136, 16), (0.000822791077544435, 13), (0.0, 9), (0.9999999999994189, 7), (0.00082279107827375, 4), (0.9999999999984741, 3), (0.9999999999984756, 1), (0.0008227910773162207, 1), (0.0008227910775444356, 1), (0.0008227910775530902, 1), (0.0008227910775570771, 1), (0.0008227910789253215, 1), (0.0008227910774630409, 1), (0.000822791077544419, 1), (0.0008227910790268849, 1), (0.0008227910767256402, 1), (0.9999999999993217, 1), (0.0008227910868893821, 1), (0.0008227910778285236, 1), (0.0008227910775444242, 1), (0.000822791077544839, 1), (0.09283361471661372, 1), (0.0008227911047832825, 1), (0.0008227910775448317, 1), (0.000822791077641541, 1), (0.0008227910775440395, 1), (0.0008227910979171052, 1)]",Beta oxidation of unsaturated fatty acids,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv0468', 'Rv1323', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",c5tetdcoa_c + coa_c + fad_c + nad_c --> accoa_c + c3dodcoa_c + fadh2_c + nadh_c,"['Rv3139', 'Rv3516']"
FAD_17,6.742363877627452,0.01048217462899382,"[(1.0, 44), (0.0008227910775444351, 20), (0.9999999999985555, 18), (0.0008227910790263137, 16), (0.0, 9), (0.999999999999419, 7), (0.00082279107827375, 4), (0.9999999999984741, 3), (0.9999999999984757, 1), (0.0008227910773162206, 1), (0.0008227910775530845, 1), (0.0008227910775571345, 1), (0.0008227910790268881, 1), (0.0008227910868893766, 1), (0.0008227910775444243, 1), (0.0008227910775448245, 1), (0.09283361471661372, 1), (0.0008227911038257532, 1), (0.0008227910776414306, 1), (0.0008227910775439249, 1), (0.0008227910969595758, 1)]",Beta oxidation of unsaturated fatty acids,,"['Rv3563', 'Rv3274c', 'Rv0752c', 'Rv0215c', 'Rv1467c', 'Rv0154c', 'Rv3139', 'Rv3039c', 'Rv0231', 'Rv0456c', 'Rv0271c', 'Rv1346', 'Rv0243', 'Rv3543c', 'Rv3546', 'Rv1679', 'Rv3140', 'Rv3550', 'Rv0222', 'Rv3141', 'Rv2831', 'Rv3556c', 'Rv2500c', 'Rv0975c', 'Rv3544c', 'Rv1933c', 'Rv2679', 'Rv3573c', 'Rv1912c', 'Rv0971c', 'Rv3560c', 'Rv1070c', 'Rv2724c', 'Rv3774', 'Rv0632c', 'Rv1074c', 'Rv3505', 'Rv0244c', 'Rv0673', 'Rv1715', 'Rv3504', 'Rv1071c', 'Rv0400c', 'Rv0972c', 'Rv0468', 'Rv1323', 'Rv1935c', 'Rv0859', 'Rv0131c', 'Rv3562', 'Rv3797', 'Rv3761c', 'Rv3373', 'Rv0672', 'Rv2486', 'Rv3374', 'Rv1472', 'Rv3516', 'Rv1142c', 'Rv0905', 'Rv3061c', 'Rv1141c', 'Rv1934c', 'Rv0675', 'Rv0873', 'Rv3564', 'Rv2789c']",c3dodcoa_c + h2o_c --> h_c + t2dodcoa_c,"['Rv3139', 'Rv3516']"
