"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"new column"	"Pathways of gene"	"Pathways of enzyme"	"Reactions of gene"	"Pathways of a reaction"
G185E-6018	"Rv1823"	2069702	2070625	"conserved protein"		""	""	""	""
"panD"	"Rv3601c"	4043862	4044281	"probable aspartate 1-decarboxylase precursor"		"&beta;-alanine biosynthesis III"	"&beta;-alanine biosynthesis III"	ASPDECARBOX-RXN	"&beta;-alanine biosynthesis III"
"cmtR"	"Rv1994c"	2237628	2237984	"metal sensor transcriptional regulator"		""	""	""	""
"caeA"	"Rv2224c"	2495461	2497023	"probable carboxylesterase"		""	""	RXN-11272 // RXN-19416 // ACETYLESTERASE-RXN // CARBOXYLESTERASE-RXN // RXN-12252 // "retinyl-palmitate esterase" // RXNQT-4366 // RXN-10711 // "<em>all</em>-<em>trans</em>-retinyl-palmitate hydrolase" // "all-trans retinyl-ester hydrolase" // RXN-10767	""
G185E-7931	"Rv3651"	4091841	4092878	"triple sensor-domain protein"		""	""	""	""
G185E-5646	"Rv1463"	1650716	1651516	"probable conserved ATP-binding protein ABC transporter"		""	""	""	""
"xseA"	"Rv1108c"	1234213	1235460	"probable exodeoxyribonuclease VII (large subunit)"		""	""	3.1.11.6-RXN	""
"usfY"	"Rv3288c"	3669586	3669999	"putative protein"		""	""	""	""
"fadE25"	"Rv3274c"	3656920	3658089	"probable acyl-CoA dehydrogenase"		"fatty acid &beta;-oxidation I"	"fatty acid &beta;-oxidation I"	RXN-17783 // RXN-17796 // RXN-17792 // RXN-17775 // RXN-17779 // RXN-17784 // RXN-17788 // ACYLCOADEHYDROG-RXN	"" // "fatty acid &beta;-oxidation I"
"glpX"	"Rv1099c"	1227596	1228684	"fructose 1,6-bisphosphatase"		"glycolysis I (from glucose 6-phosphate)" // "gluconeogenesis I"	"glycolysis I (from glucose 6-phosphate)" // "gluconeogenesis I"	F16BDEPHOS-RXN	"gluconeogenesis I" // "glycolysis I (from glucose 6-phosphate)"
"papA5"	"Rv2939"	3274949	3276217	"phenolphthiocerol/phthiocerol/phthiodiolone dimycocerosyl transferase"		"dimycocerosyl phthiocerol biosynthesis" // "dimycocerosyl triglycosyl phenolphthiocerol biosynthesis"	"dimycocerosyl phthiocerol biosynthesis" // "dimycocerosyl triglycosyl phenolphthiocerol biosynthesis"	RXN-17248 // RXN-17260 // RXN-17271 // RXN-17258	"" // "dimycocerosyl phthiocerol biosynthesis" // "dimycocerosyl triglycosyl phenolphthiocerol biosynthesis"
"amt"	"Rv2920c"	3231073	3232506	"probable ammonium-transport integral membrane protein"		""	""	TRANS-RXN185E-7	""
G185E-5963	"Rv1767"	2000074	2000433	"conserved protein"		""	""	""	""
"guaB1"	"Rv1843c"	2092259	2093698	"probable inosine-5'-monophosphate dehydrogenase"		"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine ribonucleotides <i>de novo</i> biosynthesis" // "inosine 5'-phosphate degradation"	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I" // "superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II" // "guanosine ribonucleotides <i>de novo</i> biosynthesis" // "inosine 5'-phosphate degradation"	IMP-DEHYDROG-RXN	"inosine 5'-phosphate degradation" // "guanosine ribonucleotides <i>de novo</i> biosynthesis"
"fadD26"	"Rv2930"	3243697	3245448	"fatty-acid-AMP ligase"		"phthiocerol biosynthesis"	"phthiocerol biosynthesis"	RXN-18544 // RXN-17216 // RXN-17218	"phthiocerol biosynthesis" // ""
"vapC31"	"Rv0749"	841228	841656	"possible toxin VapC31. Contains PIN domain."		""	""	""	""
G185E-5593	"Rv1410c"	1586210	1587766	"aminoglycosides/tetracycline-transport integral membrane protein"		""	""	TRANS-RXN185E-15 // TRANS-RXN185E-14	""
G185E-4885	"Rv0740"	831776	832303	"conserved hypothetical protein"		""	""	""	""
G185E-6813	"Rv2571c"	2894893	2895960	"probable transmembrane alanine and valine and leucine rich protein"		""	""	""	""
"hisS"	"Rv2580c"	2904821	2906092	"probable histidyl-tRNA synthetase"		"tRNA charging"	"tRNA charging"	HISTIDINE--TRNA-LIGASE-RXN	"tRNA charging"
"PE_PGRS21"	"Rv1087"	1211560	1213863	"PE-PGRS family protein PE_PGRS21"		""	""	""	""
"mmpL8"	"Rv3823c"	4288260	4291529	"conserved integral membrane transport protein"		""	""	TRANS-RXN185E-37	""
G185E-4871	"Rv0726c"	818537	819640	"possible S-adenosylmethionine-dependent methyltransferase"		""	""	""	""
G185E-6797	"Rv2557"	2877072	2877746	"conserved protein"		""	""	""	""
G185E-4520	"Rv0396"	475350	475742	"hypothetical protein"		""	""	""	""
G185E-4511	"Rv0387c"	466672	467406	"conserved hypothetical protein"		""	""	""	""
"ilvE"	"Rv2210c"	2474864	2475970	"branched-chain amino acid transaminase"		"L-valine biosynthesis" // "L-valine degradation I" // "L-alanine biosynthesis I" // "superpathway of L-isoleucine biosynthesis I" // "L-isoleucine biosynthesis I (from threonine)" // "L-isoleucine degradation I" // "superpathway of branched chain amino acid biosynthesis" // "L-leucine biosynthesis"	"L-valine biosynthesis" // "L-valine degradation I" // "L-alanine biosynthesis I" // "superpathway of L-isoleucine biosynthesis I" // "L-isoleucine biosynthesis I (from threonine)" // "L-isoleucine degradation I" // "superpathway of branched chain amino acid biosynthesis" // "L-leucine biosynthesis"	BRANCHED-CHAINAMINOTRANSFERVAL-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN	"L-alanine biosynthesis I" // "L-valine degradation I" // "L-valine biosynthesis" // "L-isoleucine degradation I" // "L-isoleucine biosynthesis I (from threonine)" // "L-leucine biosynthesis"
G185E-4497	"Rv0373c"	449404	451803	"probable carbon monoxide dehydrogenase (large chain)"		""	""	1.2.2.4-RXN	""
"asnB"	"Rv2201"	2464997	2466955	"probable asparagine synthetase"		"L-asparagine biosynthesis I" // "L-glutamine degradation I" // "superpathway of L-asparagine biosynthesis" // "L-asparagine biosynthesis II"	"L-asparagine biosynthesis I" // "L-glutamine degradation I" // "superpathway of L-asparagine biosynthesis" // "L-asparagine biosynthesis II"	ASNSYNB-RXN // GLUTAMIN-RXN // ASNSYNA-RXN // RXN-11338	"L-asparagine biosynthesis I" // "L-glutamine degradation I" // "L-asparagine biosynthesis II" // ""
G185E-7954	"Rv3671c"	4112322	4113515	"membrane-associated serine protease"		""	""	""	""
"fadD15"	"Rv2187"	2448160	2449962	"long-chain-fatty-acid-CoA ligase"		"fatty acid &beta;-oxidation I" // "palmitate biosynthesis II (bacteria and plants)" // "octane oxidation" // "superpathway of mycolate biosynthesis" // "stearate biosynthesis II (bacteria and plants)"	"fatty acid &beta;-oxidation I" // "palmitate biosynthesis II (bacteria and plants)" // "octane oxidation" // "superpathway of mycolate biosynthesis" // "stearate biosynthesis II (bacteria and plants)"	RXN0-7238 // RXN0-7248 // RXN0-7239 // TRANS-RXN0-623 // RXN-19751 // "straight chain (<i>R</i>)-2-hydroxy fatty acyl-CoA ligase" // "2,3,4-saturated fatty acyl-CoA synthetase" // RXN-13614 // RXN-9623 // RXN-9644 // RXN-16393 // "straight chain fatty acyl-CoA ligase" // RXN-16401 // "phytenoyl-CoA synthetase" // "3-methyl-branched fatty acyl-CoA ligase" // RXN-9673 // RXN-16415 // RXN-12184 // RXN-16418 // "octanoyl-CoA ligase" // RXN66-484 // RXN66-483 // RXN-16380 // "15-tetracosenoate&mdash;CoA ligase" // RXN-16389 // LINOLENOYL-RXN // RXN-12978 // RXN-16402	"" // "fatty acid &beta;-oxidation I" // "palmitate biosynthesis II (bacteria and plants)" // "octane oxidation" // "stearate biosynthesis II (bacteria and plants)"
G185E-6020	"Rv1825"	2071036	2071914	"conserved protein"		""	""	""	""
G185E-6441	"Rv2229c"	2502735	2503472	"conserved protein"		""	""	""	""
"ureF"	"Rv1851"	2099694	2100329	"urease accessory protein"		""	""	""	""
"vapB13"	"Rv1839c"	2087649	2087912	"possible antitoxin"		""	""	""	""
"acs"	"Rv3667"	4107792	4109747	"acetyl-coenzyme A synthetase"		"superpathway of acetate utilization and formation" // "acetate conversion to acetyl-CoA" // "ethanol degradation II"	"superpathway of acetate utilization and formation" // "acetate conversion to acetyl-CoA" // "ethanol degradation II"	RXN-18448 // RXN-18447 // RXN-18446 // ACETATE--COA-LIGASE-RXN	"" // "ethanol degradation II" // "acetate conversion to acetyl-CoA"
G185E-7962	"Rv3678A"	4118530	4118691	"conserved hypothetical protein"		""	""	""	""
"PE_PGRS61"	"Rv3653"	4093940	4094527	"PE-PGRS family-related protein PE_PGRS61"		""	""	""	""
G185E-5648	"Rv1465"	1652768	1653256	"possible nitrogen fixation related protein"		""	""	""	""
G185E-5674	"Rv1489A"	1678942	1679172	"conserved protein"		""	""	""	""
"cdd"	"Rv3315c"	3703464	3703865	"probable cytidine deaminase"		"pyrimidine ribonucleosides salvage II" // "superpathway of pyrimidine deoxyribonucleosides degradation" // "superpathway of pyrimidine deoxyribonucleoside salvage" // "pyrimidine deoxyribonucleosides degradation" // "pyrimidine deoxyribonucleosides salvage"	"pyrimidine ribonucleosides salvage II" // "superpathway of pyrimidine deoxyribonucleosides degradation" // "superpathway of pyrimidine deoxyribonucleoside salvage" // "pyrimidine deoxyribonucleosides degradation" // "pyrimidine deoxyribonucleosides salvage"	CYTIDEAM2-RXN // CYTIDEAM-RXN	"pyrimidine ribonucleosides salvage II" // "pyrimidine deoxyribonucleosides salvage" // "pyrimidine deoxyribonucleosides degradation"
G185E-7740	"Rv3463"	3880907	3881764	"conserved protein"		""	""	""	""
G185E-7509	"Rv3235"	3611300	3611941	"hypothetical alanine arginine proline rich protein"		""	""	""	""
"lat"	"Rv3290c"	3670445	3671794	"probable L-lysine-epsilon aminotransferase"		""	""	RXN-10853	""
"rlmN"	"Rv2880c"	3189851	3190678	"Probable dual-specificity RNA methyltransferase RlmN"		""	""	""	""
G185E-5821	"Rv1632c"	1836387	1836830	"hypothetical protein"		""	""	""	""
"lprC"	"Rv1275"	1424751	1425293	"possible lipoprotein"		""	""	""	""
G185E-5266	"Rv1101c"	1229391	1230548	"conserved membrane protein"		""	""	""	""
G185E-5666	"Rv1482c"	1672457	1673299	"conserved hypothetical protein"		""	""	""	""
G185E-7368	"Rv3104c"	3471852	3472778	"possible conserved transmembrane protein"		""	""	""	""
G185E-5208	"Rv1048c"	1171038	1172153	"hypothetical protein"		""	""	""	""
"rodA"	"Rv0017c"	20231	21640	"noncanonical transglycosylase RodA"		"peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)" // "peptidoglycan biosynthesis III (mycobacteria)"	"peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)" // "peptidoglycan biosynthesis III (mycobacteria)"	RXN-16650 // 2.4.1.129-RXN	"peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)" // "peptidoglycan biosynthesis III (mycobacteria)"
G185E-4832	"Rv0689c"	789157	789411	"hypothetical protein"		""	""	""	""
"pmmB"	"Rv3308"	3694864	3696468	"probable phosphomannomutase"		"GDP-mannose biosynthesis"	"GDP-mannose biosynthesis"	PHOSMANMUT-RXN	"GDP-mannose biosynthesis"
G185E-5662	"Rv1478"	1668419	1669144	"possible invasion protein"		""	""	""	""
G185E-6758	"Rv2520c"	2837388	2837615	"possible conserved membrane protein"		""	""	""	""
"ppsB"	"Rv2932"	3251072	3255688	"phenolpthiocerol synthesis type-I polyketide synthase"		"phthiocerol biosynthesis" // "phenolphthiocerol biosynthesis"	""	RXN-17222 // RXN-17224 // RXN-17215	"phthiocerol biosynthesis" // "" // "phenolphthiocerol biosynthesis"
"clgR"	"Rv2745c"	3058193	3058531	"transcriptional regulatory protein"		""	""	""	""
"rmlA"	"Rv0334"	398658	399524	"alpha-D-glucose-1-phosphate thymidylyltransferase"		"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "dTDP-L-rhamnose biosynthesis"	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "dTDP-L-rhamnose biosynthesis"	DTDPGLUCOSEPP-RXN	"dTDP-L-rhamnose biosynthesis"
G185E-7578	"Rv3304"	3691141	3691620	"conserved protein"		""	""	""	""
"ppiA"	"Rv0009"	12468	13016	"probable iron-regulated peptidyl-prolyl cis-trans isomerase A"		""	""	PEPTIDYLPROLYL-ISOMERASE-RXN	""
"gyrB"	"Rv0005"	5240	7267	"DNA gyrase (subunit B)"		""	""	5.99.1.3-RXN	""
G185E-5292	"Rv1126c"	1249330	1249935	"conserved protein"		""	""	""	""
G185E-7211	"Rv2957"	3309470	3310297	"[&alpha;-L-rhamnopyranosyl-(1&rarr;3)-2-<i>O</i>-methyl-&alpha;-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol fucosyltransferase"		"dimycocerosyl triglycosyl phenolphthiocerol biosynthesis" // "p-HBAD biosynthesis"	"dimycocerosyl triglycosyl phenolphthiocerol biosynthesis" // "p-HBAD biosynthesis"	RXN-17279 // RXN-17286	"dimycocerosyl triglycosyl phenolphthiocerol biosynthesis" // "p-HBAD biosynthesis"
"hemZ"	"Rv1485"	1675017	1676051	"ferrochelatase"		"superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III" // "heme <i>b</i> biosynthesis II (anaerobic)" // "heme <i>b</i> biosynthesis I (aerobic)"	"superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III" // "heme <i>b</i> biosynthesis II (anaerobic)" // "heme <i>b</i> biosynthesis I (aerobic)"	PROTOHEMEFERROCHELAT-RXN	"heme <i>b</i> biosynthesis I (aerobic)" // "superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III" // "heme <i>b</i> biosynthesis II (anaerobic)"
G185E-5066	"Rv0912"	1016236	1016685	"probable conserved transmembrane protein"		""	""	""	""
"Rv0767c"	"Rv0767c"	860069	860710	"Uncharacterized HTH-type transcriptional regulator Rv0767c"		""	""	""	""
"Rv2149c"	"Rv2149c"	2407622	2408374	"Polyphenol oxidase"		""	""	RXN-16312	""
G185E-4689	"Rv0556"	647959	648474	"probable conserved transmembrane protein"		""	""	""	""
G185E-6841	"Rv2599"	2927477	2927908	"probable conserved membrane protein"		""	""	""	""
"PE_PGRS8"	"Rv0742"	832981	833508	"PE-PGRS family protein PE_PGRS8"		""	""	""	""
G185E-6613	"Rv2387"	2680765	2682018	"conserved protein"		""	""	""	""
"ephA"	"Rv3617"	4057733	4058701	"probable epoxide hydrolase"		""	""	RXN-12142 // RXN-12140 // RXN-12141 // RXN-12134	""
"Rv2573"	"Rv2573"	2898043	2898783	"Putative 2-dehydropantoate 2-reductase"		"phosphopantothenate biosynthesis I"	"phosphopantothenate biosynthesis I"	2-DEHYDROPANTOATE-REDUCT-RXN	"phosphopantothenate biosynthesis I"
G185E-4317	"Rv0197"	232231	234519	"possible oxidoreductase"		""	""	""	""
"eccC5"	"Rv1783"	2019257	2023432	"ESX conserved component EccC5. ESX-5 type VII secretion system protein."		""	""	""	""
"thiE"	"Rv0414c"	500350	501018	"thiamine-phosphate pyrophosphorylase"		"thiamine diphosphate biosynthesis II (Bacillus)" // "thiamine diphosphate biosynthesis I (E. coli)"	"thiamine diphosphate biosynthesis II (Bacillus)" // "thiamine diphosphate biosynthesis I (E. coli)"	THI-P-SYN-RXN // RXN-12610 // "thiamin phosphate synthase"	"" // "thiamine diphosphate biosynthesis II (Bacillus)" // "thiamine diphosphate biosynthesis I (E. coli)"
G185E-5280	"Rv1115"	1240187	1240885	"possible exported protein"		""	""	""	""
"purT"	"Rv0389"	468335	469594	"probable phosphoribosylglycinamide formyltransferase 2"		"superpathway of 5-aminoimidazole ribonucleotide biosynthesis" // "5-aminoimidazole ribonucleotide biosynthesis II"	"superpathway of 5-aminoimidazole ribonucleotide biosynthesis" // "5-aminoimidazole ribonucleotide biosynthesis II"	GARTRANSFORMYL2-RXN	"superpathway of 5-aminoimidazole ribonucleotide biosynthesis" // "5-aminoimidazole ribonucleotide biosynthesis II"
"lppX"	"Rv2945c"	3290624	3291325	"probable conserved lipoprotein"		""	""	""	""
G185E-6213	"Rv2011c"	2258854	2259285	"conserved hypothetical protein, probable transcription repressor."		""	""	""	""
G185E-6413	"Rv2203"	2468231	2468923	"possible conserved membrane protein"		""	""	""	""
"PPE12"	"Rv0755c"	848103	850040	"PPE family protein PPE12"		""	""	""	""
G185E-7585	"Rv3311"	3698121	3699383	"conserved protein"		""	""	""	""
G185E-6036	"Rv1841c"	2089681	2090718	"conserved hypothetical membrane protein"		""	""	""	""
G185E-4125	"Rv0012"	14089	14877	"probable conserved membrane protein"		""	""	""	""
"kasB"	"Rv2246"	2519396	2520712	"meromycolic acid 3-oxoacyl-(acyl carrier protein) synthase II"		"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	RXN-19847 // "cis,cis-delta5,17-3-oxo-C36:2-[acyl-carrier protein] synthase" // "cis,cis-delta7,19-3-oxo-C38:2-[acyl-carrier protein] synthase" // "cis,cis-delta9,21-3-oxo-C40:2-[acyl-carrier protein] synthase" // "cis,cis-delta11,23-3-oxo-C42:2-[acyl-carrier protein] synthase" // "cis,cis-delta13,25-3-oxo-C44:2-[acyl-carrier protein] synthase" // "cis,cis-delta15,27-3-oxo-C46:2-[acyl-carrier protein] synthase" // "cis,cis-delta17,29-3-oxo-C48:2-[acyl-carrier protein] synthase" // "cis,cis-delta19,31-3-oxo-C50:2-[acyl-carrier protein] synthase" // "cis,cis-delta5,23-3-oxo-C42:2-[acyl-carrier protein] synthase" // "cis,cis-delta7,25-3-oxo-C44:2-[acyl-carrier protein] synthase" // "cis,cis-delta9,27-3-oxo-C46:2-[acyl-carrier protein] synthase" // "cis,cis-delta11,29-3-oxo-C48:2-[acyl-carrier protein] synthase" // "cis,cis-delta13,31-3-oxo-C50:2-[acyl-carrier protein] synthase" // "cis,cis-delta15,33-3-oxo-C52:2-[acyl-carrier protein] synthase" // "cis,cis-delta17,35-3-oxo-C54:2-[acyl-carrier protein] synthase" // "cis,cis-delta19,37-3-oxo-C56:2-[acyl-carrier protein] synthase" // "cis,cis-delta21,39-3-oxo-C58:2-[acyl-carrier protein] synthase"	"" // "mycolate biosynthesis"
"zwf1"	"Rv1121"	1243707	1245107	"probable glucose-6-phosphate 1-dehydrogenase"		"pentose phosphate pathway" // "pentose phosphate pathway (oxidative branch) I"	"pentose phosphate pathway" // "pentose phosphate pathway (oxidative branch) I"	GLU6PDEHYDROG-RXN	"pentose phosphate pathway (oxidative branch) I"
G185E-6062	"Rv1867"	2115764	2117248	"conserved protein"		""	""	""	""
G185E-8135	"Rv3839"	4312765	4313541	"conserved hypothetical protein"		""	""	""	""
G185E-7979	"Rv3694c"	4136122	4137114	"possible conserved transmembrane protein"		""	""	""	""
"secD"	"Rv2587c"	2914015	2915736	"probable protein-export membrane protein"		""	""	TRANS-RXN185E-34	""
G185E-7756	"Rv3479"	3895820	3898885	"possible transmembrane protein"		""	""	""	""
G185E-5690	"Rv1504c"	1694545	1695144	"conserved hypothetical protein"		""	""	""	""
G185E-7952	"Rv3669"	4110827	4111345	"probable conserved transmembrane protein"		""	""	""	""
"sugI"	"Rv3331"	3717090	3718598	"probable sugar-transport integral membrane protein"		""	""	RXN0-0 // TRANS-RXN185E-6	""
G185E-5664	"Rv1480"	1670413	1671366	"conserved protein"		""	""	""	""
G185E-5837	"Rv1647"	1856774	1857724	"adenylate cyclase"		""	""	ADENYLATECYC-RXN	""
"lipO"	"Rv1426c"	1601059	1602321	"probable esterase"		""	""	""	""
"amiB1"	"Rv3306c"	3692805	3693989	"probable amidohydrolase"		""	""	""	""
"acpA"	"Rv0033"	36607	36870	"probable acyl carrier protein"		""	""	RXN-17155	""
G185E-5283	"Rv1117"	1241633	1241956	"conserved protein"		""	""	""	""
"echA11"	"Rv1141c"	1268203	1269009	"2-trans-enoyl-ACP isomerase"		"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"trans-delta2-cis-delta21-C40:2-[acyl-carrier protein] isomerase" // "trans-delta2-cis-delta15-C34:2-[acyl-carrier protein] isomerase" // "trans-docos-2-enoyl-[acyl-carrier protein] isomerase"	"mycolate biosynthesis"
"rubA"	"Rv3251c"	3630571	3630738	"probable rubredoxin"		""	""	""	""
G185E-5463	"Rv1290A"	1445058	1445372	"hypothetical protein"		""	""	""	""
"fadD22"	"Rv2948c"	3297837	3299954	"P-hydroxybenzoyl-AMP ligase"		"phenolphthiocerol biosynthesis"	"phenolphthiocerol biosynthesis"	RXN-17209 // RXN-17210	"phenolphthiocerol biosynthesis"
G185E-7227	"Rv2972c"	3327023	3327736	"possible conserved membrane or exported protein"		""	""	""	""
G185E-7384	"Rv3120"	3485572	3486174	"conserved hypothetical protein"		""	""	""	""
G185E-4118	"Rv0007"	9914	10828	"possible conserved membrane protein"		""	""	""	""
"emrB"	"Rv0783c"	876818	878440	"possible multidrug resistance integral membrane efflux protein"		""	""	TRANS-RXN185E-11	""
"dprA"	"Rv2896c"	3205265	3206434	"Putative DNA processing protein DprA"		""	""	""	""
"hsdS"	"Rv2761c"	3071546	3072640	"possible type I restriction/modification system specificity determinant"		""	""	""	""
G185E-5282	"Rv1116A"	1241115	1241390	"conserved hypothetical protein (fragment)"		""	""	""	""
"phoP"	"Rv0757"	851608	852351	"possible two component system response transcriptional positive regulator"		""	""	""	""
"pks15"	"Rv2947c"	3296350	3297840	"probable polyketide synthase"		""	""	""	""
"lpqV"	"Rv1064c"	1186904	1187323	"possible lipoprotein"		""	""	""	""
"fadD9"	"Rv2590"	2917871	2921377	"probable fatty-acid-CoA ligase"		"fatty acid &beta;-oxidation I" // "palmitate biosynthesis II (bacteria and plants)" // "octane oxidation" // "superpathway of mycolate biosynthesis" // "stearate biosynthesis II (bacteria and plants)"	"fatty acid &beta;-oxidation I" // "palmitate biosynthesis II (bacteria and plants)" // "octane oxidation" // "superpathway of mycolate biosynthesis" // "stearate biosynthesis II (bacteria and plants)"	RXN-19751 // TRANS-RXN0-623 // RXN0-7248 // RXN0-7239 // RXN0-7238 // "straight chain (<i>R</i>)-2-hydroxy fatty acyl-CoA ligase" // "2,3,4-saturated fatty acyl-CoA synthetase" // RXN-9623 // RXN-9644 // RXN-13614 // RXN-16393 // "straight chain fatty acyl-CoA ligase" // RXN-16401 // "phytenoyl-CoA synthetase" // "3-methyl-branched fatty acyl-CoA ligase" // RXN-9673 // RXN-16415 // RXN-12184 // RXN-16418 // "octanoyl-CoA ligase" // RXN66-484 // RXN66-483 // RXN-16380 // "15-tetracosenoate&mdash;CoA ligase" // RXN-16389 // LINOLENOYL-RXN // RXN-12978 // RXN-16402	"" // "fatty acid &beta;-oxidation I" // "palmitate biosynthesis II (bacteria and plants)" // "octane oxidation" // "stearate biosynthesis II (bacteria and plants)"
"pstS3"	"Rv0928"	1034903	1036015	"periplasmic phosphate-binding lipoprotein"		""	""	""	""
G185E-5285	"Rv1119c"	1242864	1243013	"hypothetical protein"		""	""	""	""
G185E-7206	"Rv2952"	3304441	3305253	"(phenol)phthiotriol methyltransferase"		"phenolphthiocerol biosynthesis" // "phthiocerol biosynthesis"	"phenolphthiocerol biosynthesis" // "phthiocerol biosynthesis"	RXN-17208 // RXN-17233 // RXN-17306 // RXN-17241 // RXN-17228 // RXN-17243	"" // "phenolphthiocerol biosynthesis" // "phthiocerol biosynthesis"
"fadD29"	"Rv2950c"	3300596	3302455	"fatty-acid-AMP ligase"		"phenolphthiocerol biosynthesis"	"phenolphthiocerol biosynthesis"	RXN-18536 // RXN-18538 // RXN-17213 // RXN-17238	"phenolphthiocerol biosynthesis"
"pks6"	"Rv0405"	485731	489939	"probable membrane bound polyketide synthase"		""	""	""	""
"adhB"	"Rv0761c"	854699	855826	"possible zinc-containing alcohol dehydrogenase NAD dependent"		"ethanol degradation II" // "pyruvate fermentation to ethanol II" // "mixed acid fermentation" // "ethanol degradation I"	"ethanol degradation II" // "pyruvate fermentation to ethanol II" // "mixed acid fermentation" // "ethanol degradation I"	ENZRXN-201-RXN // RXN-8773 // RXN-8772 // ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN // RXN-12448 // RXN-161 // RXN-13198 // ALCOHOL-DEHYDROG-RXN // OCTANOL-DEHYDROGENASE-RXN // HEXANOL-RXN // "phytol dehydrogenase" // ALCOHOL-DEHYDROG-GENERIC-RXN	"" // "ethanol degradation I" // "mixed acid fermentation" // "pyruvate fermentation to ethanol II" // "ethanol degradation II"
"thrS"	"Rv2614c"	2941189	2943267	"probable threonyl-tRNA synthetase"		"tRNA charging"	"tRNA charging"	THREONINE--TRNA-LIGASE-RXN	"tRNA charging"
"rplB"	"Rv0704"	802528	803370	"50S ribosomal protein L2"		""	""	""	""
"Rv0759c"	"Rv0759c"	853825	854157	"Uncharacterized HIT-like protein Rv0759c"		""	""	""	""
"ruvB"	"Rv2592c"	2923199	2924233	"probable holliday junction DNA helicase"		""	""	""	""
G185E-6430	"Rv2219A"	2486994	2487416	"probable conserved membrane protein"		""	""	""	""
"pepQ"	"Rv2535c"	2859300	2860418	"probable cytoplasmic peptidase"		""	""	""	""
G185E-6451	"Rv2237A"	2510351	2510587	"conserved protein"		""	""	""	""
"modB"	"Rv1858"	2105773	2106567	"probable molybdenum-transport integral membrane protein ABC transporter"		""	""	TRANS-RXN185E-25	""
"fgd1"	"Rv0407"	490783	491793	"glucose-6-phosphate dehydrogenase (coenzyme-F420) monomer"		""	""	RXN-11283	""
G185E-4706	"Rv0572c"	665042	665383	"hypothetical protein"		""	""	""	""
"dnaK"	"Rv0350"	419835	421712	"probable chaperone protein"		""	""	""	""
G185E-4555	"Rv0430"	518733	519041	"conserved hypothetical protein"		""	""	""	""
G185E-6630	"Rv2401"	2697728	2698057	"hypothetical protein"		""	""	""	""
G185E-4333	"Rv0213c"	254637	255950	"possible methyltransferase (methylase)"		""	""	""	""
G185E-6478	"Rv2261c"	2534042	2534464	"conserved hypothetical protein"		""	""	""	""
"cyp137"	"Rv3685c"	4127295	4128725	"probable cytochrome P450 137"		""	""	""	""
G185E-6078	"Rv1883c"	2133231	2133692	"conserved hypothetical protein"		""	""	""	""
"asd"	"Rv3708c"	4151180	4152217	"aspartate-semialdehyde dehydrogenase"		"superpathway of L-isoleucine biosynthesis I" // "superpathway of L-methionine biosynthesis (by sulfhydrylation)" // "superpathway of L-threonine biosynthesis" // "L-lysine biosynthesis I" // "L-homoserine biosynthesis"	"superpathway of L-isoleucine biosynthesis I" // "superpathway of L-methionine biosynthesis (by sulfhydrylation)" // "superpathway of L-threonine biosynthesis" // "L-lysine biosynthesis I" // "L-homoserine biosynthesis"	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	"L-homoserine biosynthesis" // "L-lysine biosynthesis I"
G185E-5681	"Rv1496"	1686884	1687888	"possible transport system kinase"		""	""	""	""
"dosT"	"Rv2027c"	2272787	2274508	"two component sensor histidine kinase"		""	""	""	""
"ruvC"	"Rv2594c"	2924817	2925383	"probable crossover junction endodeoxyribonuclease"		""	""	3.1.22.4-RXN	""
"glnE"	"Rv2221c"	2489369	2492353	"glutamate-ammonia-ligase adenylyltransferase"		""	""	GSADENYLATION-RXN	""
G185E-7597	"Rv3322c"	3708438	3709052	"possible methyltransferase"		""	""	""	""
G185E-6373	"Rv2164c"	2427084	2428238	"probable conserved proline rich membrane protein"		""	""	""	""
G185E-4138	"Rv0024"	28362	29207	"putative secreted protein P60-related protein"		""	""	""	""
"PPE30"	"Rv1802"	2043384	2044775	"PPE family protein PPE30"		""	""	""	""
